"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_sqrt_max"
"conglobatus","G.conglobatus",25,"A",12,73562.32952,11.2058883465148,271.223762823245,96407.62549,11.4733414909039,310.266741396005,161493.431010833,11.8269703546698,384.96835535514,113624.3584,11.6406387967806,337.080911637042,195895.681775,12.1544744338481,439.068505210338,342852.765355,12.7316264966646,583.569531909991,405236.8277,12.9122269349364,636.582145288414
"conglobatus","G.conglobatus",25,"B",7,99806.0616,11.5109841979301,315.920973662718,140609.7936,11.8504527725393,374.671577172822,242215.935942857,12.2249127382947,470.215499472557,212645.3544,12.267381054217,461.134854896049,236278.9026,12.3713912119565,485.918039036826,515098.8576,13.0737995095226,704.891809837289,629282.7432,13.3523359469239,793.273435329836
"dutertrei","N.dutertrei",25,"A",11,61867.91564,11.0327569986089,248.732618769634,75905.86653,11.2365826691607,275.464291946065,88919.3295981818,11.3762832133409,296.782939732312,87012.3748,11.3738056266022,294.978600579771,104573.8876,11.5576487241468,323.378825632495,110778.5734,11.6152453911172,332.830553234918,111809.0016,11.6245473516677,334.378530411269
"dutertrei","N.dutertrei",25,"B",7,98607.9096,11.4989067564403,314.01896375856,137168.4348,11.8289479452602,370.361002173446,151807.760228571,11.9061020222052,387.293125245286,142154.0784,11.8646668074871,377.033259010396,170207.4762,12.040046029511,412.075365739154,201013.96104,12.2100143570188,448.221712267746,207140.5116,12.241152641967,455.126918122846
"glutinata","G.glutinata",25,"A",24,26750.92189,10.1943242149079,163.557090613645,30221.7057275,10.3162449360157,173.840844585788,33894.1351495833,10.4162083034339,183.402404355582,33287.355345,10.4129327367318,182.448219738647,34258.9737575,10.4416991004256,185.091579817484,47201.1522075,10.7614581681661,217.219899197533,52932.84635,10.8767793391477,230.071394028028
"glutinata","G.glutinata",25,"B",14,23217.5232,10.0526625828959,152.372973981609,30358.1763,10.318094263368,174.115649723562,39807.6492857143,10.5558117136232,197.777105447679,41495.9976,10.6288074234461,203.474606106577,48383.7075,10.7869181140813,219.962951976578,52079.6736,10.8604560537358,228.205489461246,52945.0056,10.8770090236347,230.097817460314
"menardii","G.menardii",25,"A",1,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665
"menardii","G.menardii",25,"B",13,140197.0968,11.8508045458076,374.429027720875,237933.018,12.379744476068,487.783782018222,409850.420953846,12.8049302349818,621.738939647956,392095.242,12.8792600535473,626.1750889328,499236.6564,13.1208355236299,706.566809579958,728933.04504,13.4705443720427,847.597397104277,947052.6228,13.761109938523,973.166287332232
"obliquiloculata","P.obliquiloculata",25,"A",7,36580.7314,10.5072769162775,191.260898774423,55299.893055,10.9080119989464,234.42702630304,126123.279585714,11.5058560490896,335.36864424905,97397.47059,11.4865555199916,312.085678284025,180769.5346,12.1001404372707,424.656719799075,253274.49599,12.4311737579929,501.90918015998,276745.8998,12.5308550349236,526.066440480668
"obliquiloculata","P.obliquiloculata",25,"B",10,79457.4468,11.2829768969621,281.88197317317,88956.1296,11.3958398278432,298.25075037535,121888.00296,11.6620348455674,344.849214072192,108133.218,11.5907959717559,328.809583930117,150754.1472,11.9233891018393,388.26911176075,182892.24486,12.1101436509216,426.967505192967,201562.4484,12.2138545299722,448.957067435184
"ruber","G.ruber",25,"A",194,19299.66924,9.86784323692229,138.923249458109,29048.0513675,10.2767041476027,170.434780927537,41048.7369370619,10.5449437307228,198.494332068676,33845.30888,10.429555672609,183.970945261924,46958.9080025,10.7570093822217,216.699023271932,78724.802897,11.2736404159001,280.574269894698,161831.8677,11.9943132215677,402.283317700349
"ruber","G.ruber",25,"B",11,34579.998,10.4510307014004,185.956978895657,75806.4114,11.2351270634297,275.273829193493,85250.3301818182,11.3014439452451,288.352710613031,88057.5156,11.3857454663294,296.744866172947,89558.5338,11.4026476158782,299.263312249553,122574.2778,11.6843352078876,347.326919689206,153157.1076,11.9392195205866,391.352919498501
"sacculifer","G.sacculifer",25,"A",47,28351.35285,10.2524300275941,168.378599738803,53162.484835,10.8811074516143,230.569866848442,106040.157448511,11.3663513877445,309.064789508244,83349.07682,11.3307928121728,288.702401825825,125249.8068,11.7369161289232,353.804847862844,282827.57366,12.5460520336594,530.962514551895,366783.1944,12.8125262015209,605.626282785019
"sacculifer","G.sacculifer",25,"B",9,140549.886,11.8533177652351,374.89983462253,157164.2604,11.965046781984,396.439478861528,217214.6032,12.2507497762088,461.732310496054,208731.3912,12.2488034947874,456.871307043898,262688.1696,12.4787229407806,512.531140127115,299680.44696,12.610268449336,547.402950789666,304603.5204,12.6267662768288,551.908978365092
"siphonifera","G.siphonifera",25,"A",29,38792.06996,10.5659711222482,196.957025668038,76802.12123,11.2489875389366,277.131956349317,118194.38634931,11.573665978952,334.951506970329,99161.94133,11.5045095637106,314.899890965367,163330.1892,12.0035291314375,404.141298557819,213786.1665,12.2668143714725,461.692779849036,249358.8167,12.4266481690819,499.358405055928
"siphonifera","G.siphonifera",25,"B",5,137740.8852,11.8331295556789,371.134591758839,141435.1872,11.8595968501432,376.078698147077,165814.91784,12.0046119284191,405.754627598068,161956.8684,11.9950853343207,402.438651722222,169778.1384,12.0422477954539,412.041428014223,208486.43568,12.24284964429,456.072100281226,218163.51,12.293000106499,467.079768347977
"tenellus","G.tenellus",25,"A",9,24186.48313,10.0935492077514,155.520040927207,30041.64044,10.310339712909,173.325244670244,33869.0580822222,10.4120384747486,183.19170131675,32629.20996,10.3929631772195,180.635572244229,34531.76107,10.4496347902419,185.827234467933,45276.54974,10.7201367800449,212.761225882831,46327.91132,10.7434998947266,215.239195594111
"tenellus","G.tenellus",25,"B",10,21779.7408,9.98873549558969,147.579608347495,24239.2806,10.093803537477,155.613886826148,28946.02104,10.256555252023,169.425540280888,28922.058,10.27132046087,170.020691037262,31937.4072,10.3715300422678,178.710257515044,36774.9459,10.5057248331952,191.441808900977,40624.0092,10.6121145304115,201.553985820177
"truncatulinoides","G.truncatulinoides",25,"A",3,74873.67824,11.2235576823738,273.630550633514,156422.95247,11.8017334668402,380.727260825875,213280.730046667,12.1003903410835,444.4301372487,237972.2267,12.3799092513065,487.823971018235,282484.25595,12.5388066704384,529.829930556293,318093.87935,12.6659246057438,563.43469818674,326996.2852,12.6977040895702,571.835890094352
"truncatulinoides","G.truncatulinoides",25,"B",4,168260.4792,12.0332685290741,410.195659655243,218582.8632,12.2849611962183,466.4009556529,253622.1528,12.4152787430497,500.164036936887,270279.7938,12.4987949187488,518.793748445446,305319.0834,12.6291124655802,552.556829729432,305598.6522,12.6300277776176,552.809758907018,305668.5444,12.6302566056269,552.872991201415
"conglobatus","G.conglobatus",18,"A",1,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758
"conglobatus","G.conglobatus",18,"B",9,140336.8812,11.851801105387,374.615644627931,162635.8212,11.9992687544158,403.281317692749,229486.786,12.28528022755,472.023777552992,223402.0968,12.3167285514282,472.654310040647,285792.534,12.5630214209736,534.595673383165,359778.42,12.7790377915221,597.721008045479,407824.3152,12.9185917606515,638.611239487687
"dutertrei","N.dutertrei",18,"A",32,51474.99671,10.8488514679815,226.881018840272,81349.52153,11.3065101095857,285.21836650482,118684.321210625,11.6191173613491,339.071089592281,117834.54665,11.676360404933,343.212340092122,146706.311825,11.8961879222692,383.022593275219,195176.114865,12.1814305004284,441.76231280214,200958.1815,12.2108521131565,448.283594948555
"dutertrei","N.dutertrei",18,"B",19,84596.1876,11.3456444807491,290.854237720546,122431.1652,11.7147912332801,349.856784409712,164425.692126316,11.9505795440154,399.570997000997,155433.5964,11.9539738865995,394.250677107852,212419.0368,12.2646238634249,460.694527273909,248179.21452,12.421504320461,498.125192523588,269823.8304,12.5055245450228,519.445695333015
"glutinata","G.glutinata",18,"A",51,22279.36606,10.0114162403151,149.262741700667,28776.973465,10.2673110944454,169.636935056108,39284.4768266667,10.5265195138184,195.569226490094,35663.9952,10.4818969210361,188.849133437249,44648.99565,10.7065257546348,211.299849411724,63019.86328,11.0505147437033,250.994249167269,84674.88082,11.3465742701857,290.98948575507
"glutinata","G.glutinata",18,"B",24,24515.5212,10.1070617143121,156.574331229611,38984.8707,10.5709277123303,197.445808222401,44354.3667,10.678175624087,209.491641390609,45127.0638,10.7171720856579,212.427845289229,49952.9538,10.8187585574387,223.497185693084,56482.54938,10.941644811046,237.658076381006,63508.7124,11.0589323786189,252.009349826549
"inflata","G.inflata",18,"A",10,31306.70502,10.3515875714782,176.937008621713,42456.606535,10.6552467446773,205.998541923789,58346.895646,10.911420092125,237.726094444582,53387.46428,10.8839010115157,230.97470266377,68970.4553425,11.1356032684942,262.248387697911,95365.8676635,11.452093152083,307.791289422026,109231.53,11.6012250368804,330.501936454236
"inflata","G.inflata",18,"B",15,77460.5268,11.2575237539751,278.317313151733,94237.983,11.4529975052698,306.937470099955,121687.42344,11.671553069663,345.472315597873,115781.4216,11.6594593960168,340.266691875652,139980.7638,11.8483283032559,374.052889346808,173364.60672,12.0443998035177,414.378750810481,227069.7732,12.3330126201599,476.518387053427
"menardii","G.menardii",18,"A",36,99185.61443,11.5047482669305,314.937477017264,315194.4356,12.660869487072,561.411227395721,463302.422425833,12.9394218251458,664.375634630883,460365.07575,13.0397436242979,678.49674389951,628094.4843,13.3503978632549,792.51458950801,717494.49825,13.4809985126463,846.509676997745,831824.6874,13.6313769853408,912.044235440365
"menardii","G.menardii",18,"B",64,149855.5332,11.917426996988,387.111783855775,492345.6183,13.1067158276595,701.634939477017,589798.3304875,13.2235175132952,756.558993673978,595957.4766,13.2979179460377,771.981538123533,707548.6944,13.4695031561344,841.146794098436,887366.3481,13.6959949721417,941.996963283982,1047244.756,13.8616732313964,1023.34977207209
"obliquiloculata","P.obliquiloculata",18,"A",2,208142.2587,12.2459770609635,456.226104798925,210547.948325,12.2572757601386,458.832827203885,212953.63795,12.2685744593138,461.439549608845,212953.63795,12.2685744593138,461.439549608845,215359.327575,12.2798731584889,464.046272013805,217283.879275,12.288912117829,466.131649937773,217765.0172,12.291171857664,466.652994418765
"obliquiloculata","P.obliquiloculata",18,"B",13,108439.4124,11.5939468849332,329.301400543636,140629.7628,11.8538859201673,375.006350346231,166328.075076923,11.9940501935523,405.021730414939,150341.4504,11.9206643221507,387.738894618531,194207.1264,12.1766805303556,440.689376318513,230527.10736,12.3479812594652,480.115264520237,235303.74,12.3686324691918,485.08116846565
"ruber","G.ruber",18,"A",70,19264.60327,9.86602466354429,138.796985810211,31237.249505,10.3493555286536,176.740140085427,51038.9471977143,10.709244153117,218.329185829217,41092.5773,10.6235517045371,202.711466766751,64460.185885,11.0737461813739,253.886504513457,115670.58588,11.6577721315789,340.041855051944,158965.6916,11.9764436818187,398.705018277924
