"area","diam.max","species","sample","dataset","datasetAB","area_log"
41182.94875,263.086711,"glutinata",25,"resample","A",10.6257795843805
26481.50261,206.8948917,"glutinata",25,"resample","A",10.1842017535316
44592.91219,253.8294888,"glutinata",25,"resample","A",10.7053302058724
35673.92763,238.629371,"glutinata",25,"resample","A",10.4821753824679
23495.77401,195.3742113,"glutinata",25,"resample","A",10.0645758545993
44054.07363,256.4144253,"glutinata",25,"resample","A",10.6931731045006
26843.40911,210.793917,"glutinata",25,"resample","A",10.1977755990406
34869.69097,237.6922913,"glutinata",25,"resample","A",10.4593732772846
49830.50343,260.7376755,"glutinata",25,"resample","A",10.8163825941744
39071.82752,256.1476865,"glutinata",25,"resample","A",10.5731569624863
44498.41438,264.3066531,"glutinata",25,"resample","A",10.7032088356094
50001.40372,284.7580749,"glutinata",25,"resample","A",10.8198063584162
31206.39299,216.5758356,"glutinata",25,"resample","A",10.3483782563334
28067.85942,218.797137,"glutinata",25,"resample","A",10.242380407809
34198.15336,232.7949469,"glutinata",27,"resample","A",10.4399269262713
29601.94085,220.1849142,"glutinata",27,"resample","A",10.2955952074193
29571.78198,225.6506892,"glutinata",27,"resample","A",10.2945758741353
26783.09136,208.4439626,"glutinata",27,"resample","A",10.1955260479826
33850.32101,215.3095717,"glutinata",27,"resample","A",10.4297037616042
33269.26002,231.1959753,"glutinata",27,"resample","A",10.412389127106
33818.15154,236.8618783,"glutinata",27,"resample","A",10.4287529651339
30438.34698,219.4531881,"glutinata",27,"resample","A",10.3234585062961
33500.47806,227.7614435,"glutinata",27,"resample","A",10.4193149881591
32348.40904,221.6819368,"glutinata",27,"resample","A",10.3843201191215
30428.29402,219.6866904,"glutinata",27,"resample","A",10.3231281788811
29501.41127,218.2819299,"glutinata",27,"resample","A",10.2921933808446
26750.92189,207.6079314,"glutinata",27,"resample","A",10.1943242149079
43056.82017,268.9069145,"glutinata",27,"resample","A",10.6702759216983
30458.45289,221.6955409,"glutinata",27,"resample","A",10.3241188336293
47932.50492,269.5939123,"glutinata",27,"resample","A",10.7775491528369
31536.13002,224.0770074,"glutinata",27,"resample","A",10.3588891522912
40666.2267,259.4583388,"glutinata",27,"resample","A",10.6131532161363
27124.89194,210.6460232,"glutinata",27,"resample","A",10.208207107056
34515.82684,239.4704471,"glutinata",27,"resample","A",10.4491732468118
33428.09676,216.5944019,"glutinata",27,"resample","A",10.4171520456965
52932.84635,295.1319221,"glutinata",27,"resample","A",10.8767793391477
33305.45067,226.9522788,"glutinata",27,"resample","A",10.4134763463576
34441.43495,233.8548543,"glutinata",27,"resample","A",10.4470156228886
27206.3645,204.1816329,"glutinata",31,"resample","A",10.2112062138835
29792.28344,216.1648899,"glutinata",31,"resample","A",10.302004693995
45087.64899,262.5627906,"glutinata",31,"resample","A",10.7163636296699
29595.13588,221.3617587,"glutinata",31,"resample","A",10.2953652984304
42324.29724,266.4571469,"glutinata",31,"resample","A",10.6531166029651
48583.73255,273.2574641,"glutinata",31,"resample","A",10.7910440326635
25389.32107,197.0487597,"glutinata",31,"resample","A",10.1420839342861
42892.73939,255.6386772,"glutinata",31,"resample","A",10.6664578456042
31793.33127,227.8858386,"glutinata",31,"resample","A",10.3670118382858
37425.18015,248.6737235,"glutinata",31,"resample","A",10.5300990229035
35502.99135,242.0312259,"glutinata",31,"resample","A",10.4773722352938
39695.66299,245.4084279,"glutinata",31,"resample","A",10.5889972161233
42771.16506,257.9482593,"glutinata",31,"resample","A",10.6636194409715
34027.67038,234.9566025,"glutinata",31,"resample","A",10.4349293073203
38732.92569,249.8403612,"glutinata",31,"resample","A",10.5644453103219
30728.7344,226.6351987,"glutinata",31,"resample","A",10.3329534697662
37973.90755,242.2347788,"glutinata",31,"resample","A",10.5446545594399
