Lat.decimal,Long.decimal,IRN,ZF.PF.no.,Museum.no.,Residue.OBD.IRN,Sea.Depth..m....modern.methods,Ocean.Sea,Sample.depth.MIN..cm.,Sample.depth.MAX..cm.,Vessel,Collection.date,species,total_ind,diameter,D_max,D_min,area,area_mm,area_sqrt,area_sqrt_mm,area_log,A_mean,A_mean_log,A_mean_sqrt_mm,A_median,A_median_log,A_median_sqrt_mm,A_max,A_max_log,A_max_sqrt_mm,A_95q,A_95q_log,A_95q_sqrt_mm,A_sd,A_sd_log,A_sd_sqrt_mm,A_mad,A_mad_log,A_mad_sqrt_mm,max_size,max_size_log,max_size_sqrt_mm,min_size,min_size_log,min_size_sqrt_mm,sample,ocean
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,504.47412,539.54086,207.95824,128721.4632,0.12872,358.77774,0.35878,11.76541,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,498.74143,539.54086,207.95824,133387.5996,0.13339,365.22267,0.36522,11.80101,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,483.95464,539.54086,207.95824,117325.7064,0.11733,342.5284,0.34253,11.67271,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,269.32284,539.54086,207.95824,51973.1712,0.05197,227.97625,0.22798,10.85848,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,316.27896,539.54086,207.95824,50788.332,0.05079,225.36267,0.22536,10.83542,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,213.45505,539.54086,207.95824,30785.85,0.03079,175.45897,0.17546,10.33481,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,447.24134,539.54086,207.95824,108319.5972,0.10832,329.11943,0.32912,11.59284,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,442.22735,539.54086,207.95824,120593.9988,0.12059,347.26647,0.34727,11.70018,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,337.83226,539.54086,207.95824,54409.4136,0.05441,233.25826,0.23326,10.90429,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,224.47483,539.54086,207.95824,33781.23,0.03378,183.79671,0.1838,10.42766,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
