"area","diam.max","area_max","area_sqrt","area_sqrt_max","area_log","area_log_max","total_ind","species","sspname","sample","dataset","datasetAB"
55783.86531,288.8068465,90995.35686,236.186081956579,301.654366552185,10.9292399544063,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
29344.58512,212.7591605,90995.35686,171.302612706287,301.654366552185,10.2868633148792,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
27901.07289,202.080095,31126.27027,167.036142466234,176.426387680528,10.2364204219088,10.3458074448218,3,"humilis","T.humilis",55,"Re-sampling","A"
31126.27027,221.6489525,31126.27027,176.426387680528,176.426387680528,10.3458074448218,10.3458074448218,3,"humilis","T.humilis",55,"Re-sampling","A"
27354.18488,217.8810348,31126.27027,165.391006043255,176.426387680528,10.2166248082108,10.3458074448218,3,"humilis","T.humilis",55,"Re-sampling","A"
39466.69699,238.3960827,147456.9197,198.662268662169,384.001197524174,10.5832124810913,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
47468.67521,277.0278018,147456.9197,217.873071328239,384.001197524174,10.7678253032141,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
40682.80311,237.4248764,147456.9197,201.699784605735,384.001197524174,10.6135607541307,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
54854.49299,289.6045317,147456.9197,234.210360552218,384.001197524174,10.912439376478,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
45798.55615,260.6681839,147456.9197,214.005972229749,384.001197524174,10.7320078444962,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
40099.07217,247.9970559,147456.9197,200.24752725065,384.001197524174,10.5991084751217,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
40212.57541,243.2439434,147456.9197,200.530734327684,384.001197524174,10.6019350468331,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
26794.87132,197.7829111,147456.9197,163.691390488321,384.001197524174,10.1959657795289,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
29567.59325,206.0541629,147456.9197,171.952299344906,384.001197524174,10.2944342179209,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
