Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),Sum
MD77-171,,11.46,94.09,1760,Indo-Pacific,2.61,,,4,12.7,,,Prell (1985),TTB,01/01/03,1,0.5,,27.6,,9.1,,0,,2.6,2.6,11,1.4,0.2,3.4,,0,0,0,12.5,1.7,2.4,4.6,0,0,0,,0,0.5,,,,0,,13.7,,,,,,,,,
MD77-179,,18.22,91.01,1986,Indo-Pacific,0.52,,,4,2.5,,,Prell (1985),TTB,01/01/03,1.3,1.3,,12.4,,6.3,,0,,1.7,2.6,11.3,2.6,0.4,2.6,,0,0,0,8.1,0.7,1.5,10.6,0,0,0,,0,0.4,,,,0,,30.7,,,,,,,,,
MD77-180,,18.28,89.51,1986,Indo-Pacific,1.81,,,4,8.8,,,Prell (1985),TTB,01/01/03,1,0.7,,20.4,,3.4,,0,,4.2,3.4,11.8,1.2,0,1.7,,0,0,0,7.1,1,1.2,6.4,0,0,0,,0,0,,,,0,,25.1,,,,,,,,,
MD77-191,,7.3,76.43,1254,Indo-Pacific,6.72,,,4,32.6,,,Prell (1985); Ruddiman (1992),TTB,01/01/03,0,0,,8.8,,3.5,,0,,1.2,2.4,31.8,2.9,0,4.7,,0,0,0,18.8,0.6,4.7,2.9,0,0,0.6,,0,0,,,,0,,11.8,,,,,,,,,
MD77-194,,10.28,75.14,1222,Indo-Pacific,3.11,,,4,15.1,,,Prell (1985),TTB,01/01/03,0,0.3,,23.1,,5.2,,0.3,,1.7,4.9,27.7,0.3,0,4,,0,0,0,10.7,0.6,3.2,1.2,0,0,0,,0,0.6,,,,0,,10.4,,,,,,,,,
MD77-203,,20.42,59.34,2442,Indo-Pacific,3.41,,,4,16.6,,,Prell (1985),TTB,01/01/03,10,0,,14,,0.3,,0,,2.9,12,28.9,15.4,0,1.1,,1.7,0.3,0.6,3.4,0,0,1.1,0,0,0,,0,0,,,,0,,4.9,,,,,,,,,
MD88-770,,-46.02,96.47,3290,Indo-Pacific,1.12,,,2,5.4,,,Labeyrie et al. (1996),TTB,01/01/03,,,,,,,,,,,,6,,,,,1,206,2,,,,,0,1,,,,0,,,,0,,1,,,,,,,,,
ODP site 828,,-15.29,166.28,3087,Indo-Pacific,12.38,,,2,60.1,,,Martinez (1994),TTB,01/01/03,3.55,0.64,,34.8,,0.64,,0,,4.84,0.32,7.74,0,0,0.64,,,0,0.32,6.13,,0,3.55,0.64,0,0.97,1.61,,0.97,0,4.84,0.32,5.16,0,18.4,0,0,,0,,,,,
ODP122-760A,,-16.92,115.54,1970,Indo-Pacific,0.39,,,2,1.9,,,Wells and Wells (1994),TTB,01/01/03,6,4,,100,,2,,1,0,21,1,2,5,0,4,0,0,1,4,37,0,0,4,8,10,2,,0,3,,23,7,30,1,63,,,,,,,,,
ODP122-762B,,-19.89,112.25,1360,Indo-Pacific,0.8,,,2,3.9,,,Wells and Wells (1994),TTB,01/01/03,5,2,,71,,3,,1,0,15,0,7,8,0,2,0,0,0,2,30,3,3,1,30,5,4,,3,1,,14,1,15,0,40,,,,,5,,,,
P69,,-40.4,178,2195,Indo-Pacific,3.9,,,2,18.9,,,"Weaver et al., (1998)",TTB,01/01/03,0,0,0,3,,0,,0,,0,0,62,4,0,0,,6,39,97,12,,,0,61,4,12,0,1,1,,0,0,0,,17,,,,,0,,,,
Q200,,-46,172.03,1370,Indo-Pacific,0.59,,,2,2.9,,,"Weaver et al., (1998)",TTB,01/01/03,0,0,0,0,,0,,0,,0,0,20,0,0,0,,3,251,1,0,,,0,2,1,0,0,0,0,,0,0,0,,0,,,,,0,,,,
Q585,,-49.7,182.08,4354,Indo-Pacific,0.73,,,2,3.5,,,"Weaver et al., (1998)",TTB,01/01/03,0,0,0,0,,0,,0,,0,0,15,0,0,0,,0,325,1,0,,,0,3,0,0,0,0,0,,0,0,0,,0,,,,,0,,,,
R657 (S),,-42.53,181.51,1408,Indo-Pacific,0.5,,,2,2.4,,,Sikes et al. (2002),TTB,01/01/03,1,0,0,0,,0,,0,0,0,0,60,0,0,0,0,51,24,130,19,0,0,0,107,23,1,0,2,0,0,0,0,0,0,32,0,0,0,0,4,,,,
R657 (W),,-42.53,181.51,1408,Indo-Pacific,0.5,,,2,2.4,,,"Weaver et al., (1998)",TTB,01/01/03,0,0,0,0,,0,,0,,0,1,47,0,0,0,,33,24,79,6,,,0,77,22,8,0,0,3,,0,0,0,,15,,,,,1,,,,
RC08-039,,-42.88,42.35,4330,Indo-Pacific,0.7,,,2,3.4,,,Prell et al. (1980),TTB,01/01/03,0,0,0,0,,0,,0,0,0,0,18,0,0,0,0,11,223,37,0,0,0,0,1,1,0,,0,0,,0,0,0,0,9,,,,,,,,,
RC08-078,,-44.78,184.23,1756,Indo-Pacific,0.5,,,3,2.4,,,Barrows et al. (2000),TTB,01/01/03,6,0,,0,,0,,0,0,0,1,68,5,0,0,0,26,11,34,18,0,1,0,74,23,0,,0,0,,0,0,0,0,14,,,,0,,,,,
RC09-148,,-29.68,113.7,2056,Indo-Pacific,0.19,,,3,0.9,,,Wells and Wells (1994),TTB,01/01/03,0,0,,71,,1,,0,0,5,0,14,17,0,0,0,0,0,0,15,0,0,0,160,3,1,,2,2,,0,0,0,0,34,,,,,18,,,,
RC09-150 (P),,-31.28,114.55,2703,Indo-Pacific,0.8,,,2,3.9,,,Prell et al. (1980); CLIMAP (1981),TTB,01/01/03,3,0,0,11,,3,,0,0,5,8,25,11,3,8,0,0,0,5,3,0,0,3,153,14,0,,5,11,,0,0,0,0,22,,,,,,,,,
RC09-150 (W),,-31.28,114.55,2703,Indo-Pacific,0.9,,,2,4.4,,,Wells and Wells (1994),TTB,01/01/03,0,0,,11,,0,,0,0,0,2,29,9,0,0,0,0,4,7,3,0,0,0,171,5,0,,0,3,,0,0,0,0,44,,,,,15,,,,
RC09-161,,19.57,59.6,3332,Indo-Pacific,1.6,,,4,7.8,,,Prell et al. (1980),TTB,01/01/03,14,0,0,33,,0,,0,0,5,14,87,2,1,8,1,1,0,6,20,0,0,6,0,0,1,,0,5,,19,0,19,0,60,,,,,,,,,
RC09-162,,19.08,60.42,3092,Indo-Pacific,0.5,,,2,2.4,,,Prell et al. (1980),TTB,01/01/03,10,0,0,39,,2,,0,0,7,5,66,11,0,7,0,0,0,0,41,0,1,11,0,0,0,,0,0,,24,9,33,0,46,,,,,,,,,
RC10-131,,-14.53,157.97,2933,Indo-Pacific,0.3,,,2,1.5,,,Anderson et al. (1989),TTB,01/01/03,3,4,0,89,,8,,2,0,17,9,15,8,2,3,0,0,0,0,15,0,0,8,0,1,0,,0,0,0,1,1,2,0,71,,0,0,0,10,,,,
RC11-120,,-43.52,79.87,3193,Indo-Pacific,0.74,,,2,3.6,,,Prell et al. (1980); Martinson et al. (1987),TTB,01/01/03,0,0,0,0,,0,,0,0,0,1,76,0,0,0,0,5,179,24,0,0,0,0,5,6,1,,0,0,,0,0,0,0,3,,,,,,,,,
RC11-121,,-39.72,82.25,3426,Indo-Pacific,0.4,,,3,1.9,,,Prell et al. (1980),TTB,01/01/03,1,0,0,2,,0,,0,0,0,0,96,36,0,0,0,28,27,51,0,0,0,0,19,13,0,,1,2,,0,0,0,0,25,,,,,,,,,
RC11-126,,-30.07,94.42,2336,Indo-Pacific,0.2,,,2,1,,,Prell et al. (1980),TTB,01/01/03,3,1,0,46,,4,,0,0,3,5,80,6,3,4,0,3,0,11,0,0,0,0,51,39,0,,2,21,,0,0,0,0,13,,,,,,,,,
RC11-134,,-33.07,110.55,2345,Indo-Pacific,0.1,,,2,0.5,,,CLIMAP (1981),TTB,01/01/03,3,0,0,36,,2,,0,0,1,6,85,10,0,1,1,3,0,21,2,0,0,0,76,18,2,,1,5,,0,0,0,0,28,,,,,,,,,
RC11-145,,-25.48,110.02,3911,Indo-Pacific,0.29,,,2,1.4,,,Wells and Wells (1994); Prell et al. (1980),TTB,01/01/03,2,2,,56,,1,,0,0,4,1,6,11,0,0,0,0,0,3,13,0,0,0,158,5,2,,0,0,,1,0,1,0,62,,,,,4,,,,
RC11-147,,-19.06,112.75,1953,Indo-Pacific,0.6,,,2,2.9,,,Prell et al. (1980),TTB,01/01/03,3,3,0,59,,11,,0,0,3,11,14,16,0,24,0,0,0,10,19,0,0,5,27,8,3,,0,3,,14,3,17,0,54,,,,,,,,,
RC12-109,,-25.88,157.87,2930,Indo-Pacific,0.4,,,2,1.9,,,Anderson et al. (1989),TTB,01/01/03,3,1,0,97,,5,,0,0,16,7,34,89,0,3,0,0,0,2,8,0,0,6,105,5,9,,1,1,0,2,0,2,0,29,,0,0,0,7,,,,
RC12-113 (A),,-24.88,163.52,2454,Indo-Pacific,0.5,,,2,2.4,,,Anderson et al. (1989),TTB,01/01/03,5,2,0,96,,12,,0,0,8,8,17,64,2,4,0,0,0,1,6,0,0,3,43,13,5,,3,2,0,1,0,1,0,16,,0,0,0,4,,,,
RC12-113 (M),,-24.88,163.52,2454,Indo-Pacific,0.4,,,2,1.9,,,Martinez (1994); Anderson et al. (1989),TTB,01/01/03,1.96,1.31,,25.82,,1.96,,0,,7.19,0,7.52,9.15,0.65,1.65,,,,,2.61,,,0.98,16.99,0,4.25,0.65,,0.33,,0.33,0,0.33,0,4.57,,0,,,,,,,
RC12-328,,-3.95,60.6,3087,Indo-Pacific,0.3,,,4,1.5,,,Prell (1985),TTB,01/01/03,0.9,0.6,,31.5,,1.5,,0.3,,7.3,2.8,6.1,1.2,0.9,1.2,,0,0,0,16.8,0.6,1.5,3.4,0,0,3.7,,0,1.8,,,,0,,12.5,,,,,,,,,
RC12-339,,9.13,90.03,3010,Indo-Pacific,0.7,,,2,3.4,,,Prell et al. (1980),TTB,01/01/03,1,6,0,34,,4,,1,0,4,5,33,3,1,4,0,0,0,2,54,0,2,16,0,0,3,,0,0,,67,2,69,0,38,,,,,,,,,
RC12-340,,12.7,90.02,3012,Indo-Pacific,0.7,,,4,3.4,,,Prell (1985),TTB,01/01/03,3.4,2,,22.9,,7.6,,0.2,,3.4,5.2,2.2,0,0,2,,0,0,0,16.3,1,2,7.4,0,0,0.7,,0,0,,,,0,,20.4,,,,,,,,,
