"sample","c22","Lat","Long"
429,0.985078602050075,29.167,-12.0867
430,0.865966857159884,29.167,-12.0867
431,0.8977898650659,29.167,-12.0867
432,0.799497859331602,29.167,-12.0867
433,1,27.005,-18.9867
434,1,27.005,-18.9867
435,1,27.005,-18.9867
436,1,27.005,-18.9867
437,1,27.005,-18.9867
438,0.712980315715256,26.838,-15.11
439,0.781958777118923,26.838,-15.11
440,0.733137662619818,26.838,-15.11
441,0.608504481151727,25.172,-16.845
442,0.635876946717288,25.172,-16.845
443,0.581123623327343,25.172,-16.845
444,0.638741338760984,25.172,-16.845
445,0.690013357542862,23.498,-18.7167
446,0.709912415431669,23.498,-18.7167
447,0.819878733449387,23.135,-17.745
448,0.793957550965398,23.135,-17.745
449,0.726569438750899,23.135,-17.745
450,0.964753989670637,23.135,-17.745
451,0.752240320402784,23.135,-17.745
452,0.141277701526654,21.3,-22.68
453,0.998355754462265,21.245,-17.8033
454,0.951159124369142,21.245,-17.8033
455,1,21.245,-17.8033
456,1,21.245,-17.8033
457,0.995798719509439,21.245,-17.8033
458,1,21.245,-17.8033
459,0.996614519435651,21.245,-17.8033
460,0.810967733259427,21.145,-18.5733
461,0.915445587572501,21.145,-18.5733
462,0.974586232534627,21.145,-18.5733
463,0.965910651507996,21.145,-18.5733
464,0.931603724859198,19.367,-19.93
465,0.799706173025507,18.998,-20.1621
466,0.824679376008097,18.998,-20.1621
467,0.82523511359777,18.998,-20.1621
468,0.862345672814998,18.998,-20.1621
469,0.818800066495877,18.998,-20.1621
470,0.82568350834135,18.998,-20.1621
471,0.840307065285766,18.998,-20.1621
472,0.834026506285098,18.998,-20.1621
473,0.677392144847074,18.433,-21.08
474,0.605644241182289,18.433,-21.08
475,0.617434799993755,18.433,-21.08
476,0.494596202756436,18.433,-21.08
477,0.928039855047037,18.118,-18.075
478,0.717807345039039,18.118,-18.075
479,0.740772201106335,18.118,-18.075
480,0.626730057755193,18.118,-18.075
481,0.652217193341132,18.118,-18.075
482,0.648102841283186,18.118,-18.075
483,0.82315041788058,18.073,-18.0092
484,0.805398460023344,18.073,-18.0092
485,0.587526852686403,18.073,-18.0092
486,0.99830776869702,17.933,-50.35
487,0.998236920738805,17.933,-50.35
488,1,17.933,-50.35
489,1,17.933,-50.35
490,1,17.648,-67.1667
491,1,17.648,-67.1667
492,1,17.648,-67.1667
493,1,17.648,-67.1667
494,0.500581009275118,17.648,-67.1667
495,0.437373925395695,17.648,-67.1667
496,0.901323032763386,16.133,-74.45
497,0.926255167466152,16.133,-74.45
498,0.923033374243352,16.133,-74.45
499,0.622451680025174,15.953,-18.1333
500,0.731085453284613,15.825,-17.8617
501,0.721215387726681,15.825,-17.8617
502,0.6963553584001,15.825,-17.8617
503,0.701866269299585,15.48,-17.36
504,0.731320220442475,15.48,-17.36
505,0.821809164958165,15.48,-17.36
506,0.845818482075277,15.48,-17.36
507,0.88339523615242,15.48,-17.36
508,0.951203067335529,15.48,-17.36
509,0.890987195641284,15.48,-17.36
510,0.971713680740853,15.4,-43.4
511,0.985499858702855,15.065,-75.95
512,0.970939473529886,15.065,-75.95
513,0.89115687095671,15.033,-80.23
514,0.862701374231455,15.033,-80.23
515,0.895254784143395,15.033,-80.23
516,0.897074201297313,15.033,-80.23
517,0.832634980603269,15.033,-80.23
518,0.876313251258761,15.033,-80.23
519,0.882250652967379,15.033,-80.23
520,0.498737365033856,14.167,-18.58
